generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
1261,0.41369999999999996,False,1,0.0,0.23149999999999996,0.8797,70.95,0.0,0.0,0.0,1.9352181690546792,0.37657341287734364,1.9937366558649774,0.9253395690502904,0.37924544255533443,0.35169967459466434,0.34077162667280314,0.6845644947310913,0.05
1262,0.39315,False,1,0.0,0.1692,0.8667,62.4,0.0,0.0,0.0,1.793747024938447,0.33358488068780234,1.8800235581966678,0.6655125276650447,0.2993290137832932,0.36247573047536463,0.23498205458715477,0.49865680228237097,0.05
1263,0.41050000000000003,False,1,0.0,0.181,1.0,90.0,0.0,0.0,0.0,1.6935882574508572,0.11991283947626084,1.5141,0.031133422555189805,0.1896407468374524,0.1144873860555461,7.497298240373914e-196,0.0,0.05
1264,0.39035,False,1,0.0,0.2527,0.808,70.0,0.0,0.0,0.0,1.9699406800807875,0.42365266663827583,2.1092024026345286,0.9820426299474889,0.45367078269087396,0.39378488552394314,0.3674619210022928,0.599651980553169,0.05
1265,0.38354999999999995,False,1,0.0,0.1558,0.9376999999999999,81.6,0.0,0.0,0.0,1.79626796864062,0.2869921283117678,1.7523303574187377,0.6237002063175393,0.25424349735044915,0.2844475155775436,0.17565715330776416,0.47580305255621735,0.05
1266,0.3893,False,1,0.0,0.1649,0.9337,80.0,0.0,0.0,0.0,1.781794680782608,0.2866599698712842,1.879891949019888,0.7730217302502657,0.25708546175701374,0.25193755291955855,0.2584646092961903,0.5636324206783251,0.05
1267,0.39135,False,1,0.0,0.256,0.8069,70.05,0.0,0.0,0.0,2.0136571255512115,0.3655332231276023,2.014898260666861,0.8367631708352187,0.48730162509742964,0.3624891821627011,0.271700948497448,0.4232500564601327,0.05
1268,0.39365,False,1,0.0,0.1473,1.0,90.0,0.0,0.0,0.0,1.6687075493254202,0.0871473321290441,1.5257,0.05040446408801501,0.1579682341153293,0.09568380330796399,6.37900468534844e-205,0.0,0.05
1269,0.4343,False,1,0.0,0.2327,0.8759,60.0,0.0,0.0,0.0,1.8546360249788343,0.3189970779684623,2.014209023179043,0.9632676080545073,0.3493367876259037,0.3189977033991349,0.33700613854098566,0.674035188033864,0.05
1270,0.45235,False,1,0.0,0.2488,0.8783,55.6,0.0,0.0,0.0,1.866179932450661,0.2863554543203919,2.0847036601883615,1.1392809210315709,0.36168859410500753,0.3128480824584874,0.3714799378742871,0.7448116897459799,0.05
1271,0.3480499999999999,False,1,0.0,0.15410000000000001,0.9339999999999999,98.0,0.0,0.0,0.0,1.7238742697483769,0.23743680127567152,1.7693649843195225,0.7988052415171139,0.22712446903630132,0.260311990356042,0.19566498431952212,0.5869949529585663,0.05
1272,0.41145000000000004,False,1,0.0,0.1829,1.0,90.0,0.0,0.0,0.0,1.733393843890201,0.1224494069985719,1.55090016622544,0.04352133182230179,0.2162403271955761,0.12461091027035702,4.0827479471796957e-203,0.0,0.05
1273,0.40895000000000004,False,1,0.0,0.24689999999999998,0.8782,76.8,0.0,0.0,0.0,1.9337790845646148,0.3775913801650211,1.8920498002949657,0.7833069039692163,0.38765685285091084,0.3277347926553497,0.29247193028628526,0.6460147566218876,0.05
1274,0.42355,False,1,0.0,0.25549999999999995,0.8722,70.15,0.0,0.0,0.0,1.8941688329040982,0.30782895960093826,2.0813174741586433,1.0938216967403276,0.3831179793703462,0.3067375447903398,0.3071655795723758,0.6143708532886538,0.05
1275,0.40440000000000004,False,1,0.0,0.1633,0.9367000000000001,72.8,0.0,0.0,0.0,1.7199905661586452,0.2050994975693564,1.7346547416015514,0.5400818219537014,0.22973401974351843,0.2642732826077571,0.15417412769696703,0.4625223830909011,0.05
