condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,2,150,1,0,67.90000000000074,100.0,13.0,2.0384558735581484,,Forage
fixed,2,160,1,0,67.40000000000077,100.0,13.0,2.14525342810727,,Forage
fixed,2,170,1,0,66.40000000000083,100.0,13.0,2.14225379419196,,Forage
fixed,2,180,1,0,65.40000000000089,100.0,13.0,2.145218469751728,,Forage
fixed,2,190,1,0,64.40000000000094,100.0,13.0,2.14862202136184,,Forage
fixed,2,200,1,0,63.40000000000096,100.0,13.0,2.152056123279806,,Forage
fixed,2,210,1,0,62.90000000000095,100.0,13.0,2.262207128782619,,Forage
fixed,2,220,1,0,61.90000000000094,100.0,13.0,2.2596812339981005,,Forage
fixed,2,230,1,0,60.90000000000092,100.0,13.0,2.2626796836618848,,Forage
fixed,2,240,1,0,59.90000000000091,100.0,13.0,2.2660855886468867,,Forage
fixed,2,250,1,0,58.900000000000894,100.0,13.0,2.269519854376169,,Forage
fixed,2,260,1,0,61.10000000000088,100.0,13.0,2.2780096019774687,,Forage
fixed,2,270,1,0,60.10000000000087,100.0,13.0,2.2776788182964243,,Forage
fixed,2,280,1,0,59.100000000000854,100.0,13.0,2.280852101175937,,Forage
fixed,2,290,1,0,58.10000000000084,100.0,13.0,2.284270175586294,,Forage
fixed,2,300,1,0,57.100000000000826,100.0,13.0,2.287705288349593,,Forage
fixed,2,310,1,0,53.90000000000082,100.0,13.0,2.4949412374645146,,Forage
fixed,2,320,1,0,52.90000000000081,100.0,13.0,2.495026565728557,,Forage
fixed,2,330,1,0,51.900000000000794,100.0,13.0,2.4976362649506774,,Forage
fixed,2,340,1,0,50.90000000000078,100.0,13.0,2.501015100433141,,Forage
fixed,2,350,1,0,49.900000000000766,100.0,13.0,2.5044474820313987,,Forage
fixed,2,360,1,0,47.60000000000076,100.0,13.0,2.6816832410478066,,Forage
fixed,2,370,1,0,46.60000000000075,100.0,13.0,2.6784982628566514,,Forage
fixed,2,380,1,0,45.60000000000073,100.0,13.0,2.6812731403341163,,Forage
fixed,2,390,1,0,44.60000000000072,100.0,13.0,2.684663480456543,,Forage
