tick,plasticity_this_tick,m0_energy,m0_fatigue,m0_bonding,m0_fear_threat,m0_stress,m0_closeness_child,m0_OT,m0_CORT,m0_mot_Forage,m0_mot_Care,m0_mot_Self,m0_mot_Protect,m0_sel_Forage,m0_sel_Care,m0_sel_Self,m0_sel_Protect,c0_hunger,c0_warmth,c0_injury
52,0,82.20000000000012,9.599999999999987,100.0,40.489872393775414,59.240589027051776,100.0,99.77902913085185,32.89949826251904,17.04403002070397,37.44215959750146,30.700233431083056,33.40224888519623,0,1,0,0,26.0,50.0,0.0
53,0,81.90000000000012,9.699999999999987,100.0,41.960664949425805,57.13897362117959,100.0,99.88951456542593,33.98245718850714,17.020479041685157,37.44215959750146,29.994157023543988,34.10348238561096,0,1,0,0,26.5,50.0,0.0
54,0,81.60000000000012,9.799999999999986,100.0,37.696061227251,56.99497196767855,100.0,99.94475728271297,31.24615887372341,17.767404507854717,37.44215959750146,29.786958818712545,32.070236443147024,0,1,0,0,27.0,50.0,0.0
55,0,81.30000000000013,9.899999999999986,100.0,32.63482717802907,54.644892684164084,100.0,99.97237864135649,27.980943813130754,18.621346973858376,37.44215959750146,28.667367274340155,29.657179037383454,0,1,0,0,27.5,50.0,0.0
56,0,81.00000000000013,9.999999999999986,100.0,28.033142341552633,50.74992556135753,100.0,99.98618932067825,25.023179963813,19.413554935971842,37.44215959750146,26.95791525686227,27.463222076361973,0,1,0,0,28.0,50.0,0.0
57,0,80.70000000000013,10.099999999999985,100.0,23.66123211144894,46.33818132691176,100.0,99.99309466033912,22.219141720132694,20.17489564614019,37.44215959750146,25.054818761415493,25.37881533771154,0,1,0,0,28.5,50.0,0.0
58,0,80.40000000000013,10.199999999999985,100.0,21.475276996397092,41.795881940649764,100.0,99.99654733016956,20.872678153848092,20.642581507575912,37.44215959750146,23.205444226315105,24.33661196838632,0,1,0,0,29.0,50.0,0.0
59,0,80.10000000000014,10.299999999999985,100.0,15.382299438871168,38.4028149092955,100.0,99.99827366508478,16.921668592928015,21.635125393972743,37.44215959750146,21.622891584769683,21.43164759105241,0,1,0,0,29.5,50.0,0.0
60,0,79.80000000000014,10.399999999999984,100.0,9.406878471973686,33.41384124302526,100.0,99.99913683254239,13.049097909267186,22.611877070090035,37.44215959750146,19.41377013557364,18.58273096785386,0,1,0,0,30.0,50.0,0.0
61,0,79.50000000000014,10.499999999999984,100.0,11.419167988524947,27.692246081926257,100.0,99.99956841627119,14.56836812299228,22.61910314211839,37.44215959750146,17.299711264226424,19.54213534892588,0,1,0,0,30.5,50.0,0.0
62,0,79.20000000000014,10.599999999999984,100.0,17.42531274680057,26.06419063369109,100.0,99.9997842081356,18.816892118743713,22.14156641210238,37.44215959750146,17.00001192423941,22.40570023213319,0,1,0,0,31.0,50.0,0.0
63,0,78.90000000000015,10.699999999999983,100.0,25.428385125938384,28.723941383138087,100.0,99.9998921040678,24.430043005508324,21.395768236827735,37.44215959750146,18.495308283518504,26.221345366408137,0,1,0,0,31.5,50.0,0.0
64,0,78.60000000000015,10.799999999999983,100.0,29.42992131550729,34.64811340205128,100.0,99.99994605203389,27.392174004446176,21.187524788251203,37.44215959750146,21.09082733748675,28.129167933545617,0,1,0,0,32.0,50.0,0.0
65,0,78.30000000000015,10.899999999999983,100.0,33.50175722215722,39.986977363232356,100.0,99.99997302601695,30.409506934047634,20.969837480263642,37.44215959750146,23.45785995020864,30.07050747525405,0,1,0,0,32.5,50.0,0.0
66,0,78.00000000000016,10.999999999999982,100.0,32.608742987347654,45.0750211781289,100.0,99.99998651300848,30.121107495647575,21.419113691897998,37.44215959750146,25.486039261728223,29.644742811576666,0,1,0,0,33.0,50.0,0.0
67,0,77.70000000000016,11.099999999999982,100.0,30.0911680580774,47.28079408339619,100.0,99.99999325650424,28.75175145742611,22.086628659536053,37.44215959750146,26.294005832858304,28.44443222159828,0,1,0,0,33.5,50.0,0.0
68,0,77.40000000000016,11.199999999999982,100.0,26.761312781576798,47.143592435754826,100.0,99.99999662825212,26.841917119293953,22.863263005175966,37.44215959750146,26.134590649150812,26.856848668469386,0,1,0,0,34.0,50.0,0.0
69,0,77.10000000000016,11.299999999999981,100.0,23.02531733146102,45.38398396261211,100.0,99.99999831412606,24.66184363120645,23.694457039816793,37.44215959750146,25.312846895703125,25.07562863376524,0,1,0,0,34.5,50.0,0.0
70,0,76.80000000000017,11.39999999999998,100.0,14.086251794537654,42.587712302195214,100.0,99.99999915706303,19.013317234807932,25.224616368285528,37.44215959750146,23.829436889487717,20.813727665602176,0,1,0,0,35.0,50.0,0.0
71,0,76.50000000000017,11.49999999999998,100.0,7.5456512142104915,36.382601383101694,100.0,99.99999957853151,14.963897717587242,26.43257289434077,37.44215959750146,21.111264363518668,17.695348923380944,0,1,0,0,35.5,50.0,0.0
72,0,76.20000000000017,11.59999999999998,100.0,3.7728256071052457,29.80559477992787,100.0,99.99999978926576,12.75972663657134,27.268714585090866,37.44215959750146,18.379268607246328,15.896569281234315,0,1,0,0,36.0,50.0,0.0
73,0,75.90000000000018,11.69999999999998,100.0,1.8864128035526229,24.580314804522793,100.0,99.99999989463288,11.813196651618947,27.851441069526707,37.44215959750146,16.27377126569994,14.997179460161004,0,1,0,0,36.5,50.0,0.0
74,0,75.60000000000018,11.79999999999998,100.0,0.9432064017763114,21.07891610954081,100.0,99.99999994731644,11.495487214698304,28.307459950805416,37.44215959750146,14.896709191756138,14.547484549624345,0,1,0,0,37.0,50.0,0.0
75,0,75.30000000000018,11.899999999999979,100.0,0.4716032008881557,18.963467038039724,100.0,99.99999997365822,11.492188051793535,28.700125030505554,37.44215959750146,14.091457781733434,14.322637094356018,0,1,0,0,37.5,50.0,0.0
